episode,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
1,0,0,0,-20,-5.400875061733762,-20,-0.0034669137,0.044078447,0.10125003
2,1,1,0,-2.3961995180293783,-25.102546653350146,-20,0.07751508,-0.02987177,0.14012729
3,0,0,0,0,0,-7.8327543147690815,0.0,-0.03471111,-0.09438282
4,1,1,0,-4.911963032119563,-20,-20,-0.023610635,0.11872878,-0.05742438
5,0,0,0,-5.688162581286977,-32.54959121045828,-20,-0.008013777,-0.018894462,0.096988164
6,0,0,0,0,-0.5612547838472892,-20,0.0,-0.014280529,0.023742843
7,0,0,0,-29.768581373444587,-9.376493608680747,-40,-0.0511354,-0.004162426,0.043673895
8,0,0,0,-9.97492648490191,-20,-23.701903881781305,-0.010847208,-0.017608479,-0.071602285
9,0,0,0,0,0,-20,-0.028583305,-0.042833436,0.043758735
10,0,0,0,-3.793213818895488,0,-20,-0.033399362,-0.01774041,0.13444619
11,0,0,0,-4.903394372972114,-23.550714485756764,-20,-0.018843211,0.09731241,0.03721516
12,1,1,0,-6.079526461748428,-20,-20,-0.05473821,0.10721302,0.054714113
13,0,0,0,-10.903736860245052,-20,-20,-0.07442604,0.20535612,0.15659525
14,0,0,0,0,-3.1228013974127498,-20,0.013454641,-0.0109449,0.1903999
15,0,0,0,-7.954645935844794,-20,-20,-0.053100605,0.032181855,0.19458061
16,2,2,0,-23.611441840469205,-23.267737341065224,-20,-0.09066973,-0.008497267,-0.0019193268
17,0,0,0,-17.607162475551185,-29.6503907399729,-20.695815337013602,-0.10835108,-0.08754045,-0.12166639
18,0,0,0,-26.262012855267912,-22.980175735190635,-16.46652236179542,0.074964836,-0.0007307243,0.008084846
19,0,0,0,-13.356229631623915,-20,-20,0.09155924,0.29444614,0.16148199
20,4,4,0,-9.168127546286598,-22.328553499795742,-20,0.08818147,0.10163158,-0.14379862
21,1,0,1,-20,-20,-30.794408854641645,0.029250389,0.04816743,-0.16187663
22,2,2,0,0,-20,-20,0.005796943,0.12125161,0.113221206
23,2,2,0,-1.8906972500367125,-20,-20,0.040309373,0.11329514,0.02796564
24,1,0,1,-0.11438749886830912,-20,-20,0.046239763,0.11481328,0.069087684
25,0,0,0,0,-20,-20,0.0,0.17149095,0.082101524
26,0,0,0,-2.0401182767582435,-20,-20,0.03569217,0.0039337743,0.038951233
27,4,4,0,-14.059131091304012,-21.23094437654005,-20,0.094741866,0.20859486,0.08146566
28,0,0,0,-2.779481716025122,-4.181344297051938,-20,0.0073658656,0.15383026,-0.28716144
29,4,4,0,0,0,-25.8948943792505,0.024016686,0.17404754,0.09086816
30,1,0,1,0,-3.0608050053686244,-20,-0.020746129,0.045605384,0.0006778538
31,1,0,1,-5.464974952588251,-10.174308395455629,-25.358570225335043,0.037999388,-0.07164829,-0.030471649
32,6,6,0,0,-2.887802177756057,-27.89583792644797,-0.0047866344,-0.034040906,0.027005406
33,0,0,0,-0.3056324893233975,-4.624218677844292,0,-0.09883657,-0.023969745,0.09052187
34,0,0,0,0,0,-27.862512496675656,0.0,0.0,-0.029197592
35,0,0,0,-7.389315363807711,-20,-20,-0.012409977,0.13196395,0.058963757
36,0,0,0,-7.559012185055952,-22.731887040708195,-24.05708658140195,0.038161717,-0.014355111,0.18786906
37,6,6,0,-2.3923507822332164,0,-20,-0.011105537,-0.1124645,-0.07237901
38,0,0,0,-0.5166643060492193,0,-23.00122633121743,-0.079850696,0.0,-0.059993517
39,0,0,0,-1.2699611622266427,0,-20,-0.109855555,0.0,0.12930043
40,0,0,0,0,0,-20.581708554038244,0.0,0.0,-0.18861885
41,8,8,0,0,0,-12.228928820064358,-0.0010019529,-0.08778166,-0.05919531
42,2,2,0,0,0,-2.473991309648937,-0.027346963,-0.022419196,0.101755865
43,3,3,0,0,-0.9790619198953943,0,-0.042821392,0.015090784,0.042613696
44,1,1,0,0,-1.6579572994961755,0,0.14009342,0.10090577,0.009881591
45,2,2,0,0,0,0,0.06585228,0.0031308318,-0.0069799493
46,6,1,5,0,0,0,-0.04169568,-0.12485576,-0.11342723
47,4,4,0,0,0,0,0.00072116853,-0.005153103,0.0
48,8,5,3,0,0,0,0.011740675,-0.09570377,0.19366784
49,0,0,0,-0.7133577071909913,-5.717675981922719,0,-0.029063763,0.012421532,0.101779245
50,11,10,1,0,0,0,-0.112762645,0.009252045,-0.02332046
51,5,1,4,20,-20,0,0.023344602,0.015241508,0.05013217
52,1,1,0,0,-3.772745985215283,0,0.008516136,0.067757286,0.0
53,0,0,0,0,-2.3442761490228996,0,0.08868885,-0.13114539,0.0
54,2,1,1,0,0,0,-0.019783333,0.009190779,-0.043574713
55,0,0,0,-1.1057992189621069,-3.1510062042226332,0,0.06941671,0.055858098,0.0
56,5,0,5,0,0,0,-0.014110351,0.03349536,0.05584149
57,0,0,0,0,-0.641464297829133,0,0.0,-0.050174072,0.0
58,10,10,0,0,-2.2975393250793896,0,-0.0931786,-0.13711467,0.0
59,4,4,0,0,-4.5021615644540605,0,-0.05682154,-0.026313452,0.06918121
60,2,2,0,0,-1.6047396623053456,0,-0.03265728,-0.050858326,0.1426435
61,3,3,0,0,0,0,0.01946126,-0.07317645,0.0
62,5,5,0,20,-20,0,-0.046076883,-0.11984836,0.1584762
63,3,3,0,-0.02823421127981174,-3.29028787241541,0,0.051944293,0.062537,0.13216153
64,0,0,0,0,0,0,0.0,0.15981318,0.20853607
65,1,1,0,0,-3.7460473783860113,0,0.17331779,0.13498975,0.0
66,1,1,0,-0.14464819551849972,-4.449148859066522,0,0.043089252,0.012656093,0.0
67,0,0,0,-0.4430086307781367,-4.299406034825664,0,0.043183345,-0.11935833,-0.048510198
68,0,0,0,-0.8789588348174027,-3.7772664528415825,0,0.056036178,-0.062938355,0.0
