episode,collision_0,collision_1,collision_2,collision_3,collision_4,collision_5,collision_6,collision_7,collision_8,collision_9,collision_10,collision_11,collision_12,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,reward_11,reward_12,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12
1108,16,11,21,3,14,2,4,5,3,1,1,9,6,0,0,0,0,0,0,0,0,-2.1298473751195943,0,-1.3395884305523365,0,0,0.00889824,-0.057716183,-0.016990237,-0.06677639,0.051455546,-0.08046606,-0.20623264,0.08230961,-0.05327579,0.00341767,0.04425714,0.11502141,0.05582876
1109,33,7,18,1,14,4,1,0,12,3,7,10,6,0,0,0,0,-2.0748297606426434,0,0,0,0,0,0,0,0,0.15059261,-0.046947535,0.16747297,0.017040731,-0.029227795,-0.027726464,0.11974767,0.044833247,-0.041406024,0.047334686,-0.10295272,0.08297623,-0.109633386
1110,13,8,15,0,1,0,1,2,4,0,3,13,12,0,0,0,0,0,0,0,0,-2.383456265030415,0,-2.024983066422361,0,-1.9031361078008247,0.020574538,0.019326411,-0.03817803,0.0,-0.04352961,0.0,-0.03601683,0.17944556,-0.08036024,0.0,0.060795564,-0.091223076,-0.079049714
1111,18,9,5,0,4,0,3,0,6,1,9,7,2,0,0,0,0,-2.083402391797115,0,0,0,0,0,-2.981886429596281,0,0,0.05096718,0.10915973,0.050827675,0.0,0.022665767,0.0,0.012720742,0.0,-0.061869383,-0.08810789,0.04719624,-0.005850024,-0.03286833
1112,22,5,16,5,11,3,4,0,7,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05423934,0.09033445,0.0052448846,-0.029953828,-0.1630155,-0.12067335,0.072452135,0.124693014,-0.08626018,0.0,0.017010737,0.036097173,0.00943313
1113,8,14,9,0,0,3,8,2,1,2,4,5,6,0,0,0,0,-2.088242733802597,0,0,0,0,0,0,0,-0.5096458427727701,0.027594559,0.09750002,0.015009742,0.0,0.040102653,0.00441932,0.18577023,-0.010481362,0.012085722,-0.15403457,-0.08795658,0.058505993,0.111961596
1114,6,7,11,2,5,5,2,0,1,0,1,5,3,0,0,0,0,0,0,0,0,-2.749298300748696,0,0,0,-1.4716831607637415,-0.18394054,-0.019784551,0.011150828,0.12540488,-0.04781212,0.055596568,0.23038831,0.1330804,-0.1419598,0.0,0.021369128,0.06132168,-0.0986029
1115,11,13,14,5,10,0,1,1,3,3,7,2,6,0,0,0,0,0,0,0,0,-3.907882285392341,0,-1.6255557417947841,0,-2.6330743755909314,-0.060580835,-0.18298519,0.07075139,0.07700494,-0.1201931,0.0,-0.14236313,-0.16301182,0.019443918,0.004712315,0.04248538,0.046009947,0.009462395
1116,25,9,20,4,2,2,8,0,5,3,13,9,8,0,0,0,0,-2.9231366123768963,0,0,0,0,0,0,0,0,-0.030190552,0.0034248875,-0.013456497,-0.11894226,-0.030400027,0.034695435,0.026666729,0.0,-0.02066248,-0.07139754,0.00833699,0.1737096,0.0002455878
1117,10,11,10,2,7,5,3,0,3,0,6,4,1,0,0,0,0,0,0,0,0,-1.2080504951627824,-2.46849688344305,0,0,0,0.08681682,0.012881952,-0.050861347,-0.038860235,-0.0803077,-0.062156666,-0.17037372,0.0699984,0.035995416,-0.0045018555,0.059083857,0.1501624,0.12171409
1118,11,7,31,1,5,3,7,0,6,0,13,6,8,0,0,0,0,-2.2665236952818613,0,0,0,-1.558607698988681,0,0,0,0,0.012248251,0.009590731,-0.038940843,-0.12997854,0.062091567,-0.11724592,-0.03900833,0.0,0.15094304,0.0,0.08462015,0.13518047,-0.006624559
1119,13,10,15,0,9,4,5,5,4,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016953135,0.02752478,-0.10591789,0.0,-0.06389432,0.095670566,0.08220684,-0.0058071897,-0.029300869,0.0288183,0.07826451,0.0015973455,0.10279885
1120,15,23,25,1,17,5,2,6,7,4,5,7,9,0,0,0,0,0,0,0,0,-1.7888980419867306,0,0,0,0,0.006863103,0.10927275,0.085863136,-0.04424277,-0.05563079,-0.106760174,0.14985153,0.0688616,0.013282735,-0.0017340201,-0.12202902,-0.08764307,0.07584974
1121,11,9,17,1,2,0,0,3,6,5,4,13,3,0,0,0,0,0,0,0,0,0,0,-1.5489141362348824,-2.1784105136397107,0,-0.052424707,0.026698275,-0.10079817,0.0034119582,0.04447962,0.0,0.0,0.20169878,0.08817233,0.013480007,-0.0005344978,0.01974337,-0.094135806
1122,7,9,22,2,0,2,5,0,3,1,9,15,1,20,20,20,0,-2.474759270116732,0,-20,0,-2.071743403050088,0,-1.3838665153481888,0,0,0.065166384,0.052052196,0.18003777,-0.077930614,-0.039308283,-0.14094353,-0.05936394,0.0,-0.16794434,0.08492934,-0.049051505,0.04702795,0.034758545
1123,11,13,20,3,4,2,7,1,1,1,8,9,8,0,0,0,0,0,0,0,0,0,-1.986780384389104,0,0,0,-0.08704145,-0.039365757,0.05838377,0.09310001,0.03559056,0.0231032,-0.018109005,0.06704167,-0.073505886,-0.112174585,-0.1123463,-0.066353805,0.032506693
1124,9,8,25,1,9,1,5,0,3,6,4,6,7,0,0,0,0,0,-1.2492429162219287,0,0,0,0,-1.7661328585224578,0,0,0.15319687,-0.0980319,0.058797456,-0.12157431,-0.103189945,0.024659347,0.04647453,0.14374517,-0.020482875,0.0072533083,-0.13731065,0.015721373,0.03042645
1125,4,12,12,2,1,1,0,2,6,1,1,4,10,20,20,20,0,-2.220751530289519,-20,0,0,0,0,0,-2.3307989102615307,0,-0.016933093,-0.20318943,0.09053728,-0.04904525,0.052834447,0.062775224,0.0,-0.059355684,-0.0922576,0.090155326,0.066532284,0.058722116,0.10408983
1126,27,13,19,5,5,5,9,1,8,1,13,7,5,0,0,0,0,0,0,0,0,-0.43156405763270067,0,-2.635845328961173,0,0,-0.06613946,0.1736348,0.05536966,-0.008488235,0.091296256,0.043617006,0.019589115,0.064818,-0.010259952,-0.09171136,-0.17055246,-0.04351567,0.051474277
1127,23,7,23,2,13,13,3,0,7,0,1,11,3,-1.8730828375364172,0,0,0,0,0,0,0,-2.274530856281897,0,0,0,0,0.10968462,0.045528695,-0.078677095,0.08170782,0.05142118,-0.12989339,-0.05647504,0.0,-0.08569923,0.055585094,-0.09457848,-0.012741822,0.18438049
1128,32,10,35,6,4,7,2,1,7,6,12,6,26,0,0,0,0,-2.229076796092396,0,0,0,0,0,0,0,0,-0.0031724405,-0.0772463,0.10070633,-0.07978647,0.12141878,-0.07360654,0.0021123886,0.1392353,-0.022324739,0.0542274,-0.034973796,0.06489193,0.11604483
1129,7,12,12,0,2,0,9,1,3,1,5,3,7,0,0,0,0,0,0,0,0,-1.502832837808441,-2.5410182421667606,-2.113031192637378,-1.1953992011909476,-0.7235585390931032,-0.07262716,-0.0328881,-0.029972201,0.0,0.028053803,0.029520756,-0.04621477,0.00096369145,-0.11060416,0.03199497,0.032790147,0.050047215,0.034832686
1130,16,14,22,0,3,5,7,3,7,4,6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351579,-0.03732964,-0.10609434,0.0,-0.042993255,-0.0074157524,-0.18120311,0.05705659,-0.267067,0.019402422,0.108831614,-0.0053756917,0.17626572
1131,8,6,17,1,0,3,3,0,7,0,3,7,7,0,0,0,0,-0.7330500336179346,0,0,0,0,0,0,0,0,-0.052468475,0.1751025,0.02272007,0.036299787,-0.047050465,0.048631202,0.0649716,0.27818808,-0.11995135,0.0,0.03473513,0.017669039,-0.0033198642
1132,9,19,15,2,2,4,3,1,6,0,10,6,9,0,0,0,0,0,0,0,0,0,-1.8872892571486743,0,0,0,-0.08946321,0.01676838,0.04161358,-0.1774941,0.03737211,0.060929395,0.053195838,-0.06903675,-0.02056489,0.04682492,-0.04747699,-0.14006105,0.02808174
1133,17,14,21,3,12,8,6,1,2,3,3,11,3,0,0,0,0,0,0,0,0,0,-1.1999343158363174,0,0,0,0.011008492,0.07347162,-0.019612972,-0.1840396,-0.0075965454,0.05638607,0.03673611,-0.0031318355,-0.059714925,-0.0037129151,0.025732012,-0.0005006409,0.07446138
1134,23,8,23,0,4,1,4,0,6,2,8,15,14,0,0,0,0,0,0,0,0,0,-2.224831552678671,0,0,0,-0.14356373,0.019223522,0.010748911,0.0,-0.04645697,0.097807854,-0.046035253,0.096804686,0.12371418,0.025941633,-0.15551214,0.24491106,0.18409073
1135,6,15,23,1,8,9,5,1,9,2,4,3,2,19.02590804922457,20,20,0,0,-20,0,0,0,-1.6731465102311116,-2.6604402567918215,-0.24363682887292626,-0.720851723048177,0.079905175,-0.0044606207,0.067131154,0.005032954,0.03426508,0.11763985,-0.05569262,0.066801876,0.11784738,-0.0110605955,0.025949063,-0.1771298,-0.023379719
1136,10,15,24,1,2,5,3,8,14,0,3,9,4,40,40,40,0,-20,0,0,0,-0.30202061955407755,0,0,-20,0,0.09642786,0.022919836,-0.14788908,-0.043391727,0.044508323,0.09607577,0.04844061,0.13865213,-0.06968708,0.0,0.029532827,-0.16019176,0.027446652
1137,12,13,16,4,10,6,2,2,4,2,2,2,7,-5.37654576252352,0,0,0,-2.9854435637777494,0,0,0,0,0,-6.705608598633404,0,0,-0.08798518,-0.05417402,0.07653126,0.0988398,-0.033417806,-0.14249693,0.07484313,0.112770855,-0.055015355,0.068331845,0.041456524,0.047106612,0.0841981
1138,32,19,27,16,3,1,5,1,4,4,19,18,7,0,0,0,0,0,0,0,0,0,0,0,0,-2.2043213900142784,0.0040710066,0.004996016,-0.15489514,-0.14263345,0.013771454,0.044471722,-0.0063561583,0.16863064,0.14504977,-0.10969441,0.034496274,-0.0013706732,0.025436072
1139,21,17,15,0,4,14,2,1,5,0,10,11,6,0,0,0,0,0,0,0,0,0,-2.229735643436906,0,0,0,-0.09165409,-0.055453654,-0.0058895946,0.104424536,-0.027914334,-0.1635161,-0.087380305,0.19788538,0.031241491,-0.04435945,-0.15338308,0.030118868,-0.01835444
1140,17,9,9,1,0,1,5,0,0,5,5,9,9,0,0,0,0,0,-2.7846655180020905,0,0,0,-0.9025269185539053,0,0,0,-0.11848517,-0.017110763,0.009707732,0.07966359,0.0,0.037445083,0.14539173,-0.001535573,0.0,-0.10518029,0.06857523,0.095576726,-0.021902304
1141,16,13,15,4,2,5,1,3,5,0,7,6,11,0,0,0,0,0,0,0,0,-2.1103302802463118,0,-1.4683854431979149,0,-2.284641632751289,-0.15580605,0.01155763,-0.08035879,0.04394744,-0.017155573,0.10728054,0.081974834,-0.035217073,0.036747884,0.017347831,-0.08537251,0.045720663,0.016581714
1142,6,7,22,0,2,2,2,0,2,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13276668,-0.007977481,-0.038404793,-0.09071155,0.07995647,-0.06977709,0.028787198,-0.046385817,0.028715787,-0.14063829,-0.052324954,0.0036956358,0.10836887
1143,7,6,6,0,5,0,2,1,1,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.8079979962707018,-0.10208351,-0.002335503,0.053454228,-0.024209706,0.037765827,0.0,0.06983128,0.046573553,0.07775721,0.0,-0.048759926,-0.017957173,-0.03678999
1144,25,10,14,1,5,10,2,2,6,3,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016472407,0.11353586,-0.17892027,-0.014464705,0.072844006,-0.07284792,0.08714769,-0.05299903,-0.021616703,0.013044607,0.035424244,0.053206667,0.03708522
1145,15,13,10,3,2,6,2,4,2,5,9,3,2,-2.6963160426969073,0,0,0,0,0,0,0,0,0,-2.473253905019526,-2.9194095735029215,0,0.029166704,-0.030651994,0.09804645,-0.25232345,-0.04462762,-0.15792763,0.04321964,0.030924816,0.10603176,-0.021079242,-0.06343601,-0.010281053,0.0129342815
1146,19,17,16,8,1,6,2,1,3,1,8,9,13,0,0,0,0,0,0,0,0,0,-1.06076077665898,0,-0.867878497657053,0,-0.1736787,-0.07430001,-0.037621748,-0.08410672,0.010274637,-0.06220616,0.013949082,0.1355823,-0.058379646,-0.06383337,-0.06789837,0.018851409,-0.030993948
1147,21,7,6,0,0,2,4,1,1,1,1,9,15,0,0,0,0,0,0,0,0,-0.8145302925958564,-2.668446487288622,0,0,0,0.04805086,-0.021837106,-0.0038096374,-0.112472706,0.0,-0.01848582,0.124776274,0.16660698,0.07750872,0.099697694,-0.020219894,0.09917366,-0.017231926
1148,26,9,21,2,5,10,0,0,9,1,5,15,9,20,20,20,0,0,-20,0,0,0,0,0,0,0,-0.01954273,-0.0867704,-0.03044911,0.059822455,-0.121806785,0.01443082,0.015056015,0.09026483,0.052253064,-0.00011128083,-0.022884864,-0.013638466,-0.0040887906
1149,19,11,16,3,0,18,0,1,1,0,14,3,6,0,0,0,0,-2.1048184413988458,0,0,0,0,0,0,0,0,0.14936036,0.02614087,-0.15779561,-0.006358858,-0.01659883,0.03682372,0.0,-0.013769263,0.07215417,0.0,-0.013793704,-0.008042314,-0.0021870804
1150,8,14,23,4,5,9,9,2,6,0,6,4,0,40,40,40,0,-1.1501699996236803,-20,0,0,-2.2382790975587237,0,-20,0,0,-0.003018177,0.08968089,0.06366445,-0.034400973,0.010865838,0.13417906,0.027132858,0.10775576,0.062578075,0.0,0.055440836,-0.08784418,-0.020499993
1151,9,5,25,2,2,2,1,0,1,2,20,7,2,0,0,0,0,-0.4259529339419976,0,0,0,0,0,0,0,0,0.015549516,0.0065046977,-0.045098115,-0.06612218,0.06094111,-0.05236529,0.009405043,0.0,0.07763407,-0.06757855,-0.019086367,-0.04397971,0.17724809
1152,10,9,12,1,6,0,3,2,7,2,2,7,1,0,0,0,0,-0.3384928055623093,0,0,-0.15649509637525982,0,0,0,0,0,0.07531372,0.10081917,-0.11345029,0.03471576,-0.06997012,0.0,0.060290065,0.051776007,0.06033995,-0.0050005983,-0.09221669,-0.18488292,0.0016253388
1153,15,2,3,0,0,0,2,0,0,0,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008696923,0.1206412,0.0634686,-0.10511255,0.0,0.0,0.06432923,0.039183825,0.04976436,0.0,-0.055218734,0.008030367,-0.045572147
1154,6,10,15,0,0,1,1,0,4,3,16,6,0,0,0,0,0,0,-1.5941741593728143,0,0,0,0,0,0,0,-0.045916844,-0.057137154,-0.0047920425,-0.0048041223,0.01684618,-0.027434614,0.04861453,0.043602332,-0.03563426,-0.065370105,-0.011621198,0.14342949,-0.031482615
1155,24,14,9,4,2,9,2,1,9,2,8,8,2,20,20,20,0,0,0,0,0,-0.8006327675865732,-20,0,0,0,-0.05946371,-0.10655969,-0.07988468,0.05857333,0.11347422,-0.025872258,0.015868712,0.03341697,-0.00979619,-0.059137546,-0.058153998,0.049075797,-0.0106617855
1156,7,19,11,2,3,8,5,0,4,2,4,4,5,0,0,0,0,0,0,0,0,0,-0.8686757965054248,0,0,0,0.060205307,0.04246376,-0.07332564,-0.12690598,0.0029870092,0.07777069,0.029198207,0.036626957,0.06766952,0.062638685,-0.019416727,0.11137455,0.08264142
1157,24,12,24,3,7,9,0,1,3,3,12,15,7,0,0,0,0,-1.509778767021046,0,0,0,0,0,0,0,0,-0.0068216915,0.11191439,0.031313915,-0.0047920793,-0.08518182,-0.32128876,0.0,0.044845387,0.04287416,-0.011843988,0.049955595,-0.07497366,0.003447467
1158,15,10,5,2,7,0,0,1,2,0,6,9,3,20,20,20,0,0,0,0,0,0,-0.9152903575912297,-20,0,0,0.02463254,0.07475302,0.18938091,-0.0110341525,-0.08504425,0.006957465,0.0,-0.034408048,-0.25047663,-0.024593841,0.028428357,-0.1588621,0.028156329
1159,12,9,11,1,2,5,4,2,0,0,9,3,6,20,20,20,0,0,0,0,0,0,0,0,-0.2129417218157026,-20,-0.14317355,0.09303275,-0.005674294,0.12247143,-0.01773198,-0.05837142,0.19384922,0.15749396,-0.08751507,0.0,0.016172582,0.09136595,0.15224124
1160,5,1,18,0,2,1,0,0,0,0,7,5,9,20,20,20,0,0,0,-0.6666486480622114,0,0,-3.1599606579265935,-20,0,0,0.006702683,0.087497585,0.00031369628,-0.004623158,-0.09259056,-0.07470961,0.13849631,0.088351466,0.0,-0.030196887,0.013326448,-0.034813605,0.08350025
1161,21,14,19,0,0,0,4,0,4,0,6,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05279685,0.07583854,0.04252691,0.0,0.033692256,0.0,-0.030387618,0.0,0.12748471,0.027071696,-0.12440092,0.109846495,-0.020187741
1162,18,16,21,4,11,2,3,3,5,2,17,2,6,0,0,0,0,0,0,0,0,0,0,0,-1.7107750276124922,0,-0.21567582,0.010318008,-0.008782795,-0.019396305,-0.029014058,-0.0049993074,0.03021105,0.011626222,0.050780505,-0.030474367,0.07687996,-0.023865996,-0.05982775
1163,14,8,6,5,2,0,7,3,1,4,1,2,3,0,0,0,0,0,0,0,-0.42505892990548855,0,-2.827261119092164,0,0,0,0.121093236,0.24283296,-0.12901741,-0.00997684,-0.030674882,0.0,0.08063557,0.14599502,-0.039737273,0.055911835,-0.09854555,0.10896507,0.020879121
1164,25,6,21,2,5,1,1,7,2,0,14,8,12,0,0,0,0,0,0,-0.7311986696014983,0,0,-2.1923755281455413,0,0,0,0.06433201,0.035377685,-0.14503938,0.07373111,-0.023196945,-0.06881036,-0.008880758,-0.020067817,-0.09728528,0.11964139,0.087985344,-0.09254643,0.11516192
1165,15,17,18,0,10,3,4,0,5,0,9,9,10,0,0,0,0,0,0,-1.9309553263150403,0,0,0,0,0,0,-0.17450768,-0.063428044,0.18197013,0.05206134,-0.1506417,-0.033898197,-0.13594903,0.0,-0.12666818,0.0,0.053037733,0.087444805,0.0056853257
1166,13,13,8,0,9,0,0,1,4,0,4,8,8,0,0,0,0,0,-0.7840104317985386,0,0,0,-2.385799764918536,0,-1.0597523596705472,0,0.053231735,-0.102400705,0.16330278,-0.0563776,-0.0114813475,0.10847547,0.0,0.05661878,-0.011230998,-0.030614844,0.05655214,0.10674852,0.011953693
1167,3,12,16,0,0,3,9,1,0,0,10,4,4,0,0,0,-0.20148297026822748,-2.7299720295681125,0,0,-0.25645843239625377,0,-2.6830689744019094,0,-1.1957721521770104,0,-0.11426067,-0.01939737,-0.18413495,0.08669148,0.08516966,0.007837217,0.008270872,0.033199996,-0.20605136,0.021637466,-0.1406277,-0.015840812,0.1000506
1168,22,22,18,17,4,3,6,1,0,0,5,8,18,20,20,20,-20,0,0,0,0,-1.2395974342999327,-1.1102746210435877,0,0,0,-0.047003273,-0.075752325,-0.004709768,-0.09970866,-0.09770873,0.0673835,-0.09770387,0.006844569,-0.023618108,-0.040530406,0.046820287,-0.064033315,-0.012779798
1169,13,5,13,2,1,0,0,5,0,2,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06186959,0.04130014,-0.08018501,0.006618142,0.049730748,0.0,0.0,0.121495254,0.0,0.025009928,-0.084843546,0.07702997,-0.005276141
1170,9,8,12,1,3,3,4,3,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080532074,-0.008481512,0.13935362,-0.15013587,-0.028357964,0.040821012,-0.052810706,0.10474161,0.0,0.0,-0.020708418,-0.022946982,0.046740074
1171,8,4,17,0,0,2,2,4,1,0,4,7,9,20,20,20,0,-3.0822430117364163,0,-20,0,0,0,0,0,0,-0.099240646,-0.16087475,-0.110741995,0.094535924,-0.05100444,-0.0882912,0.05794977,0.13163684,-0.010778413,0.02082102,0.060277816,-0.016298776,0.052388854
1172,11,5,9,1,3,0,2,2,1,3,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048688695,0.21182436,-0.12347278,-0.030835971,0.016175933,0.0,-0.04728474,0.0548868,0.0037190851,-0.028373735,0.06802582,0.045823965,-0.017724734
1173,12,10,10,9,2,2,6,0,2,0,4,2,5,40,40,40,0,-0.09729449790994327,0,0,0,0,0,-20,0,-20,0.023986569,0.018335158,0.1367033,-0.016796334,-0.15630975,-0.011707732,0.07964495,0.0,0.1165715,-0.16116571,0.0053522587,0.070626676,-0.118030384
1174,22,7,25,4,0,3,7,4,6,0,20,3,7,0,0,0,0,0,0,0,0,0,-2.065985984702773,0,0,0,-0.022370435,0.1760606,-0.06280998,-0.059402123,0.0,0.005028816,0.018672384,0.050604567,0.11750565,-0.07778707,-0.04683788,-0.022350073,-0.02260388
1175,8,11,19,5,2,0,8,1,7,0,0,4,11,0,0,0,0,0,-1.4717011347510245,0,0,0,0,0,0,0,0.026923604,0.044216067,0.061692934,-0.0127550075,-0.06559527,0.07623394,-0.04835972,-0.054585554,-0.13803719,0.0,0.008032568,0.053650636,0.040675335
1176,18,23,20,3,10,0,10,5,12,1,6,3,11,-3.2273604769038085,0,0,-1.6770897531361317,0,0,0,-0.5123678812807464,0,0,-0.6427601825145213,-2.332230125632215,0,-0.011959748,0.052532423,0.026100382,-0.029985255,0.016715517,-0.096319236,0.012015155,0.08628769,0.04240715,0.051009998,0.016240697,-0.14822917,0.025706422
1177,1,10,12,1,7,0,3,1,3,0,3,3,2,20,20,20,0,-20,-1.8654513709074605,0,0,0,-1.7672061960645769,0,-1.727692895295292,0,-0.0319226,-0.015583481,-0.057133187,-0.07710685,-0.09128904,0.26103348,-0.023611484,0.048517518,0.022943115,-0.073943414,-0.051564332,0.13601874,0.094515465
1178,6,6,11,3,1,1,0,1,4,0,3,4,6,20,20,20,0,0,0,0,0,0,0,0,-20,0,0.010293155,0.15319604,-0.08588624,-0.03822052,-0.013699827,-0.037841026,-0.0050240993,-0.0010488987,-0.053584095,0.0,0.056808375,0.012392023,-0.08885071
1179,15,22,8,1,8,2,4,1,6,1,0,4,18,0,0,0,0,0,0,0,0,-0.37370755638231223,0,0,0,0,0.007488458,0.012971556,-0.04830966,-0.012856172,0.02296588,0.05588652,0.045433864,-0.0062521934,0.034756105,0.048263084,-0.051236168,-0.041645736,0.035376277
1180,9,14,18,7,3,0,1,2,4,2,2,9,11,20,20,20,-20,0,-2.5767899724482515,0,0,0,0,0,0,0,0.07464182,0.06700924,-0.014715557,-0.024066085,0.12710665,-0.0402337,0.014709833,0.04261084,-0.0077802134,-0.0073824837,-0.0058377027,0.10099333,-0.10046193
1181,9,5,6,3,3,0,2,0,0,0,0,7,5,0,0,0,0,0,0,-1.0623254046654051,-0.9307171599854969,0,-2.01447085944689,0,0,0,-0.065031536,0.05710844,-0.23842892,-0.13319235,0.020899456,0.0,0.049766943,-0.15628609,0.0,0.06229874,0.0,0.009892088,0.0153258685
1182,9,9,13,7,7,2,0,2,0,2,3,3,5,20,20,20,0,0,0,0,0,0,0,0,-20,0,0.19772644,-0.09062371,0.035834648,-0.058806397,-0.03896369,0.034279354,0.0,-0.12317074,0.0,-0.08647848,0.09197719,-0.088825695,-0.007855024
1183,4,1,7,0,0,1,0,0,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092401564,-0.115919456,-0.066383675,0.059333783,0.030080559,0.12413615,-0.014638658,0.026078481,-0.058406197,0.009298488,-0.019832017,0.0070871497,0.12110692
1184,14,22,10,7,9,0,2,2,5,2,5,4,10,40,40,40,-20,0,0,0,0,-20,-0.7666569769254883,0,0,0,-0.096136056,0.02670954,-0.084314086,-0.06037649,-0.029830437,0.042834893,-0.14782621,0.046581507,-0.059091736,-0.03736093,-0.04407513,0.1107351,-0.17885154
1185,7,13,18,2,0,2,6,3,4,7,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0595749,-0.10569367,-0.19629608,-0.021433871,0.0,0.0052516903,0.11020048,0.038746342,-0.101876736,0.08838835,0.09010786,0.107407324,0.06654188
1186,17,16,9,6,2,0,3,3,2,5,2,1,18,0,0,0,0,0,-0.7032600208394291,0,-1.8162516070204848,0,-0.7584839318663006,0,0,0,0.14104453,-0.1248493,0.13210337,0.043503437,-0.09900141,0.056636848,-0.015542886,0.0076151476,0.19313867,-0.20589094,0.051320795,0.008766876,0.21782002
1187,3,11,8,0,1,3,6,2,5,0,0,1,4,0,0,0,0,0,0,0,0,-0.7878337372765865,0,-5.3298338947804105,-1.8949204379882234,-1.7979892488320082,-0.0734413,0.021522805,-0.14550269,0.0,0.08688396,-0.09148223,0.0059700166,0.008875254,-0.10713832,0.0,0.043171223,0.096299306,-0.09027426
1188,5,7,10,0,0,4,5,0,2,2,2,3,4,0,0,0,-0.30390233926655963,0,0,0,0,-2.262441134679705,-2.2104132601455473,0,-1.0279684196523653,0,-0.026598206,-0.06398556,-0.038224798,0.11176804,0.0,0.029536774,-0.03936485,0.04067337,-0.07078824,0.019558813,-0.19427878,0.0894514,0.0841028
1189,21,14,21,8,11,0,0,1,2,12,13,6,3,20,20,20,-20,0,0,-1.3091574827408459,0,0,0,0,0,0,-0.0036229705,0.0023015237,-0.102787115,0.07812235,-0.06632393,0.0,0.0061616804,-0.04979037,0.015203848,0.0071238475,0.08389912,0.12419572,-0.007171986
1190,9,13,15,7,1,12,0,0,2,1,4,4,6,0,0,0,0,0,0,0,0,0,-2.4170415855907774,0,0,0,-0.114972286,-0.029978199,0.18690069,-0.26552647,0.047025885,-0.037529778,0.0,-0.12091198,0.0732001,-0.008708968,-0.034195475,0.032665692,0.0645425
1191,9,5,9,5,0,0,1,4,0,0,6,3,4,0,0,0,0,0,0,0,0,0,-2.0154637726466387,0,0,0,-0.2179315,0.084312394,-0.058344964,-0.018872404,0.026516173,-0.05542076,0.03570712,0.1940555,0.05872662,-0.035344895,-0.03250495,-0.05886693,0.10152769
1192,4,8,9,5,4,4,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-2.9029763916794136,0,0,-0.06733687,-0.05193441,-0.1276125,0.113134176,0.019571694,-0.10648968,0.033667985,0.12030571,0.15803033,-0.020252135,0.109278604,0.12869854,0.07760497
1193,13,4,13,2,17,1,2,0,0,2,1,3,2,0,0,0,0,0,0,0,0,0,-0.252058829362074,0,0,0,0.015422584,-0.039223343,-0.024709301,-0.08512913,0.0093041565,0.16858312,0.052969187,-0.08371048,0.0,0.007091414,-0.005703428,0.042109977,-0.048845995
1194,13,11,10,2,1,10,2,0,2,1,2,6,8,0,0,0,0,0,0,0,0,0,0,0,-0.6637843057340609,-0.0738489145754162,0.06732269,-0.0685458,0.03798464,0.04314997,0.027634209,-0.13335857,0.11540531,-0.018930735,-0.13923784,-0.083278716,-0.056019854,0.107601,0.0011139697
1195,3,11,12,4,1,0,3,2,0,2,3,7,4,0,0,0,0,0,0,0,0,0,-1.8759733205517781,0,0,-2.241783247933266,-0.09927735,-0.053884324,0.13675694,-0.01037991,-0.0016052639,0.0,-0.22674511,-0.018585354,-0.13217929,0.030718217,0.001632514,0.061901335,0.08355804
1196,0,14,16,5,0,1,2,6,5,4,0,4,3,0,0,0,0,0,0,0,0,0,0,-0.08192200751786283,0,0,-0.1534814,-0.07605337,-0.010661428,-0.009425384,0.0,0.06735382,0.031682648,0.17194366,-0.11230145,-0.07366497,-0.10799225,0.07378841,0.20044415
1197,15,15,12,4,9,0,3,5,6,2,1,6,6,0,0,0,0,0,0,0,0,0,-1.301057678876485,0,0,-1.6158629631215238,-0.0054645203,-0.027455507,0.081431225,0.12847666,0.053271607,0.0,0.037166335,-0.09225478,0.022018414,0.08398765,0.11871444,0.12995042,-0.026087366
1198,7,19,10,5,2,0,8,2,3,4,0,2,10,0,0,0,0,0,0,0,0,0,0,-2.9773938460843214,0,0,-0.029781306,-0.0097293435,-0.16615085,0.061714858,-0.12712844,0.0,0.010405464,0.18120636,-0.13389213,0.0013939617,0.05174184,0.18113455,0.042260304
