episode,collision_0,collision_1,collision_2,collision_3,collision_4,collision_5,collision_6,collision_7,collision_8,collision_9,collision_10,collision_11,collision_12,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,reward_11,reward_12,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12
17,0,2,0,0,0,0,0,0,0,0,0,0,2,-28.01075715518411,-22.741390415967984,-27.507358451019872,-40,-40,-22.261635360747817,-40,-40,-28.47849407764246,-28.758697426201806,-20,-40,-20,0.014284343,0.04421259,0.02235352,-0.023925148,-0.121259145,-0.055941783,0.16508465,-0.04198596,-0.08151765,0.13461265,0.14304489,-0.10142003,0.119065806
18,0,1,3,0,0,3,0,0,0,0,0,1,0,-21.81163722184236,-21.983893295128606,-20,-40,-40,-7.331508789689973,-40,-23.25138791086373,-20,-20,-23.262083608977022,-23.931319671640107,-17.44708181506908,0.040718406,-0.060315542,-0.2111886,-0.0871485,-0.06201884,-0.31808236,0.07898256,-0.00091478345,0.019954681,0.057126936,0.2251094,0.073864065,0.09067943
19,0,3,0,0,0,3,0,0,0,0,0,0,0,-22.53379388378881,-40,-2.2032597464475696,-40,-40,-20,-20,-40,-20.647356015448032,-40,-26.941790376885795,-40,-20,-0.04625039,0.0038730907,-0.15804201,-0.14873189,-0.04003428,0.09082025,0.15368755,-0.006452122,-0.06657153,0.034636743,0.05260643,0.05216665,0.013180976
20,0,3,2,0,0,2,0,0,2,0,0,0,1,-23.212449940993455,-21.533790680222033,-40,-40,-32.79591844102205,-40,-22.644409456701023,-40,-9.769168507175735,-39.94388931855063,-20,-40,-22.854934706396776,-0.1388601,0.052425135,0.06700651,-0.026824804,0.028928665,-0.007449474,-0.12838832,-0.25442412,-0.029851876,0.11318373,0.022291675,-0.22627024,-0.012316053
21,0,0,1,0,0,0,0,0,0,1,0,0,0,-20,-24.9096575492855,-20,-38.84429522646451,-22.550222218150562,-25.36204610112543,-29.425162914074125,-20,-10.154682149827241,-25.54629026674704,-20,-40,-20,0.065532826,-0.053592082,-0.15806814,0.00057084084,0.0066042636,0.07533164,-0.19692981,-0.051953483,-0.07049488,0.24242517,0.015803356,0.011292563,0.047835194
22,0,5,1,0,3,0,0,0,0,0,2,1,0,-20,-38.50261565562117,-20,-40,-40,0,-20,-40,-20,-20,-2.7276804371016077,-16.011880280312308,-23.273960730048472,-0.11908207,-0.07124391,-0.11398833,-0.18186295,0.044276133,0.03802437,0.22814934,0.121439114,0.019840894,-0.037386503,0.024281722,-0.21452275,-0.06798638
23,0,5,1,0,1,2,0,1,0,0,0,2,0,-20,0,-8.828238307985039,-40,-40,-40,-40,-20,-40,-20,-20,-40,-40,-0.18295117,0.009022745,-0.08437291,-0.09891382,0.049549613,-0.08445368,-0.014883842,-0.09722723,0.12046229,0.058166094,0.13926592,-0.18906659,-0.17308274
24,0,2,0,0,0,0,0,0,2,0,0,0,0,-20,-40,-34.768059387081834,-40,-20.491145335251524,-23.69725673554074,-20,-20,-40,-39.14128878126641,-36.0692224446213,-2.0898810025277053,-27.735764791943733,0.036490846,0.035302725,-0.12044014,0.07740678,0.10754691,0.015271027,0.0646144,0.08751613,-0.1513794,0.18826395,-0.09132328,0.085613824,0.26800248
25,2,1,2,1,0,0,2,0,1,0,0,1,0,-32.71782356899265,-27.11704380467849,-23.81689628468817,-27.894039084810466,-40,-40,-40,-20,-40,-40,-40,-40,-20,0.0667279,0.048713516,-0.14945461,0.20479143,-0.0093424795,0.03504207,0.020795412,-0.042138986,-0.025183668,0.08073125,-0.06594357,0.034820177,-0.09234636
26,2,4,5,2,0,0,0,0,0,5,0,3,1,-20,-25.54448224505666,-20,-20,-23.622866211871482,-20,-40,-20,-40,-40,-37.816135794518374,-40,-20,0.3195175,-0.013222051,-0.044646043,-0.018928658,-0.058591723,0.04314376,-0.18770151,-0.08078723,0.03923137,0.048967466,-0.09746961,-0.14342289,0.0053440034
