episode,epsilon,collision_0,collision_1,collision_2,collision_3,reward_0,reward_1,reward_2,reward_3,loss_0,loss_1,loss_2,loss_3
0,0.999,0,0,0,0,0,0,-8.586763819848358,-2.0191528077794425,0.011880914680659771,0.05815865099430084,0.13181200623512268,0.114480160176754
1,0.998001,0,0,0,0,-6.9282849197863845,-20,-8.037510871635373,-26.815140083919964,0.015219658613204956,0.0001597355876583606,10.850988388061523,97.88206481933594
2,0.997002999,0,0,0,0,0,0,0,-3.172800654940975,0.003919031471014023,0.0024377871304750443,0.04835744574666023,0.005310918670147657
3,0.996005996001,0,1,0,1,-2.5048334025685706,0,-20,-5.36295790205526,0.1396304965019226,4.2075909732375294e-05,0.08323054015636444,11.1821870803833
4,0.995009990004999,0,0,0,0,0,-17.531592606471154,-4.968881889708874,-23.053933831673508,0.21493510901927948,0.05396893247961998,0.06929001212120056,0.015537373721599579
5,0.994014980014994,0,0,0,0,0,0,-3.169521180557135,0,0.0017414949834346771,0.0083396565169096,0.20601962506771088,0.04442708194255829
6,0.993020965034979,0,0,0,0,-5.368433188577004,0,-3.1912552402186596,-11.879496930670744,5.262117385864258,0.054898425936698914,0.00197609793394804,0.5412697792053223
7,0.9920279440699441,0,1,1,0,0,-5.237454250733583,-2.566339937491765,0,0.5975160002708435,0.020167289301753044,1.3026777505874634,0.005712160840630531
8,0.9910359161258742,0,0,0,0,-4.858436452973793,-3.1274754018583018,0,-34.986800343829266,0.14581434428691864,4.054586410522461,7.317259311676025,2.8941738605499268
9,0.9900448802097482,0,0,0,0,-5.619909044852145,-8.942048379475821,-9.729143925221253,-7.1378126528627295,0.45885008573532104,13.129308700561523,36.99480438232422,31.95943832397461
10,0.9890548353295385,3,0,0,3,-7.576435055995443,-9.746775524218641,-6.401783539840807,0,0.02927440032362938,0.660315990447998,16.634838104248047,0.7241054773330688
11,0.988065780494209,0,0,0,0,-10.404696782246502,-6.587845355308739,-3.7760211693273606,-8.237513835828299,0.2644617557525635,7.818593502044678,0.6701940894126892,1.2577831745147705
12,0.9870777147137147,0,3,2,1,-20.91142234093909,-3.3134457204941787,-6.903067083997709,0,0.3649163544178009,0.0008202403550967574,0.062106575816869736,2.244635820388794
13,0.986090636999001,0,0,0,0,0,-4.732817276330013,-8.460309202920866,-18.12990141198056,7.738290786743164,73.31029510498047,0.009918227791786194,0.498293399810791
14,0.9851045463620021,0,2,0,2,-2.9943587031019248,0,0,0,1.5323208570480347,1.916094422340393,0.8778765797615051,1.3778164386749268
15,0.98411944181564,1,0,1,0,0,-5.138201709734495,-3.3431863381807028,-13.099297284707234,0.9171404838562012,0.6804587841033936,21.941822052001953,0.7522308826446533
16,0.9831353223738244,1,0,1,0,0,-2.6852536483891485,-8.032936579283646,-14.35870386592051,0.14147977530956268,0.08099864423274994,0.9308093786239624,3.3280906677246094
17,0.9821521870514506,0,3,0,3,-2.9969410538080745,-3.1396693716573902,-2.5560706474090917,-13.462209377213691,0.002154565416276455,17.698501586914062,7.609549045562744,0.23416204750537872
18,0.9811700348643991,0,0,0,0,-4.204533414710144,-2.7878213315133578,-6.6692128922866445,-10.021604544801864,0.0451020821928978,0.0014003481483086944,16.359506607055664,0.22588591277599335
19,0.9801888648295347,0,0,0,0,-9.190476161340047,-9.685203873650064,-20,-3.757341782395052,0.2975364923477173,0.07996974885463715,5.116062164306641,0.21036560833454132
20,0.9792086759647052,0,0,0,0,0,-1.7438139091332383,-28.89470941811677,0,7.354079723358154,0.04867451637983322,1.3280367851257324,9.98828125
21,0.9782294672887405,0,0,0,0,-7.905463451441767,-3.5799073168401856,-21.02979519804828,-23.645162532936588,0.22321127355098724,1.574347972869873,1.6822805404663086,0.3691194951534271
22,0.9772512378214517,0,0,0,0,-3.801038655053131,-22.06374059581426,-10.946537645402014,-20,0.0012587981764227152,1.5257574319839478,1.4359488487243652,3.3496363162994385
23,0.9762739865836303,2,1,0,3,-16.500587351469715,-10.863561219228531,-23.112977792040645,-8.567918629399927,0.011722881346940994,1.424149513244629,1.2431352138519287,0.17963917553424835
