episode,epsilon,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
episode,epsilon,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
episode,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
86,0,0,0,-20,-20,-20,0,0,nan
87,0,0,0,-20,-20,-20,0,0,nan
88,0,0,0,-20,-20,-20,0,0,nan
89,0,0,0,-20,-20,-20,0,0,nan
90,0,0,0,-20,-20,-20,0,0,nan
91,0,0,0,-20,-20,-20,0,0,nan
92,0,0,0,-20,-20.204955639855992,-20,0,0,nan
93,0,0,0,-20,-20,-24.473399202281396,0,0,nan
94,0,0,0,-20,-20,-20,0,0,nan
95,0,0,0,-20,-20,-25.011564285805107,0,0,nan
96,0,0,0,-20,-20,-20,0,0,nan
97,0,0,0,-20,-20,-20,0,0,nan
98,0,0,0,-20,-20,-20,0,0,nan
99,0,0,0,-20,-20,-20,0,0,nan
100,2,0,2,-20,-20,-20,0,0,nan
101,0,0,0,-20,-20,-20,0,0,nan
102,0,0,0,-20,-20,-20,0,0,nan
103,0,0,0,-20,-20,-20,0,0,nan
104,0,0,0,-20,-20,-20,0,0,nan
105,2,2,0,-20,-20,-21.204582561604497,0,0,nan
106,0,0,0,-20,-20,-23.91899885144023,0,0,nan
107,0,0,0,-21.90545072943022,-20,-20,0,0,nan
108,0,0,0,-20,-20,-20,0,0,nan
109,0,0,0,-20,-20,-29.793765632541767,0,0,nan
110,2,1,1,-20,-20,-20,0,0,nan
111,0,0,0,-20,-20,-22.237696894241303,0,0,nan
112,0,0,0,-20,-20,-20,0,0,nan
113,0,0,0,-20,-20,-22.76828872058471,0,0,nan
