episode,epsilon,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
1,0.9995,0,0,0,0,-12.779081808508698,-21.341557730000446,0.014877444133162498,30.81865882873535,1.0985366106033325
2,0.9990002500000001,0,0,0,0,-6.861219291050262,-16.926938204581624,0.001668637152761221,1.0491843223571777,91.96720886230469
3,0.9985007498750001,0,0,0,0,0,-2.386334167692409,0.0007321864832192659,0.008492917753756046,1.1031548976898193
4,0.9980014995000627,0,0,0,-16.711375994388252,0,-8.865125876632547,60.68513870239258,38.02785110473633,0.9674924612045288
5,0.9975024987503127,1,0,1,0,0,-19.545376480794488,0.030818775296211243,36.58958435058594,0.6355850100517273
6,0.9970037475009376,0,0,0,0,-7.880370253519369,-36.06661863721258,10.913965225219727,0.003420556429773569,5.8597612380981445
7,0.9965052456271871,0,0,0,0,0,-2.2694512508366125,0.016234135255217552,4.957179069519043,1.6557128219574224e-06
8,0.9960069930043736,1,1,0,0,0,0,0.02459155023097992,55.69939041137695,3.3857970237731934
9,0.9955089895078715,1,1,0,0,-3.615300492349567,-5.699896157858232,0.0003976043371949345,0.2151874154806137,70.22100067138672
10,0.9950112350131176,0,0,0,0,-18.514637586548893,-20,0.00993365328758955,88.2159194946289,1.9146755933761597
11,0.9945137293956111,0,0,0,-6.280710939982659,-1.1903051265486209,-14.81919413488654,18.72958755493164,99.85286712646484,1.6945126056671143
12,0.9940164725309134,0,0,0,-3.2590099695611046,-20,0,0.17418792843818665,0.23293949663639069,0.43364575505256653
13,0.993519464294648,2,1,1,-11.000071520348689,0,-7.363459552381866,0.1289086639881134,0.31514284014701843,51.730987548828125
14,0.9930227045625007,0,0,0,-2.1893222875674527,0,0,0.003248420311138034,11.849289894104004,0.9046839475631714
15,0.9925261932102195,0,0,0,-3.643916148918924,-27.156163627590402,0,0.13286671042442322,6.0292026319075376e-05,0.02479296736419201
16,0.9920299301136144,0,0,0,-20,0,0,0.001616897527128458,0.11520405113697052,0.7725101709365845
17,0.9915339151485576,0,0,0,-3.1265891204271554,0,-20,0.18883240222930908,9.310723304748535,0.2020389586687088
18,0.9910381481909833,0,0,0,-28.848395520899913,-5.583012759783008,0,0.0013770172372460365,0.029733289033174515,0.017150456085801125
19,0.990542629116888,0,0,0,-3.5664153571094652,-6.662836178672668,-10.684424597542282,0.03088461235165596,0.1251068413257599,15.527910232543945
20,0.9900473578023296,0,0,0,-2.525103048550788,0,-5.151319267643578,0.012901551090180874,0.0007837962475605309,13.487022399902344
21,0.9895523341234285,0,0,0,-7.089077383034686,-20,-3.016755901697247,0.028022361919283867,0.13402123749256134,1.9943047761917114
22,0.9890575579563669,0,0,0,-6.9351936505676886,-6.401291031238696,-21.221198098999594,0.004911446012556553,7.801886558532715,18.90962791442871
23,0.9885630291773887,0,0,0,-9.181979629675114,0,0,0.3927205204963684,0.00022815409465692937,66.78683471679688
24,0.9880687476628001,2,2,0,0,0,-0.13285471518896363,0.08139732480049133,1.1096887588500977,0.12353618443012238
25,0.9875747132889687,0,0,0,0,-4.622853462028656,0,4.700444221496582,0.0021287414710968733,0.0016053420258685946
26,0.9870809259323243,0,0,0,-0.824011857659892,-15.94153255038495,-18.97685315267693,0.04426359012722969,0.07593733072280884,0.0006521147442981601
27,0.9865873854693582,0,0,0,-0.09479427030322451,-2.9801104237974863,0,0.08757874369621277,0.231088787317276,0.44593608379364014
28,0.9860940917766235,0,0,0,0,-2.1047977794300436,-22.91685956041636,0.05138503015041351,0.2719588875770569,0.07690395414829254
29,0.9856010447307353,0,0,0,-4.855435500570318,-20,-6.146681302005087,37.39560317993164,0.004278236534446478,6.423700332641602
30,0.98510824420837,1,1,0,-20,-5.725953708143675,-27.607463105443948,3.8654019832611084,18.678707122802734,0.13478884100914001
31,0.9846156900862658,0,0,0,0,-5.309189636122009,-20,0.05631634220480919,0.09654600918292999,1.9792265892028809
32,0.9841233822412228,0,0,0,-2.1414537378498726,-8.325555552222093,-17.249247195167335,0.04373866692185402,0.10879045724868774,0.02827632986009121
33,0.9836313205501022,0,0,0,-3.212716187901712,-8.035487185517844,-1.307579637937355,1.6744869947433472,65.48125457763672,3.574960470199585
34,0.9831395048898272,0,0,0,-7.331115604528423,-24.68607521944738,0,0.03119412064552307,0.01042760256677866,2.6271812915802
35,0.9826479351373822,0,0,0,-20,0,-15.13249939289382,0.17339050769805908,0.5287914276123047,69.93394470214844
36,0.9821566111698136,0,0,0,-10.701902987598789,0,-24.370559172728836,0.10581961274147034,0.03590983524918556,73.42364501953125
37,0.9816655328642288,0,0,0,0,0,-20,3.640533208847046,8.06995677947998,0.006161469034850597
38,0.9811747000977967,0,0,0,0,-5.352410766208717,-2.0755598919353226,0.6850425004959106,0.47481054067611694,0.5184429287910461
39,0.9806841127477479,0,0,0,0,-6.447311906671052,-2.960985988769568,0.00079653988359496,2.919180393218994,38.15705108642578
40,0.9801937706913741,0,0,0,-9.71402756499459,-5.400373859592476,0,0.22723545134067535,4.81534481048584,0.2658002972602844
41,0.9797036738060285,0,0,0,0,0,-15.013299020816024,2.3953189849853516,0.6858984231948853,0.008366543799638748
42,0.9792138219691255,3,3,0,-3.2216181975958174,-1.6098457621426632,-20,0.4313201904296875,0.9672075510025024,0.006105303764343262
43,0.978724215058141,0,0,0,-5.729757344103575,0,0,93.08732604980469,1.13913094997406,2.0535507202148438
44,0.978234852950612,4,4,0,-2.4211252652635187,-3.4165340162694364,-13.976876136034637,0.3397935926914215,12.450464248657227,1.3274389505386353
45,0.9777457355241367,0,0,0,0,-20,-8.214867340405657,2.637080430984497,20.702701568603516,1.052607536315918
46,0.9772568626563747,0,0,0,-2.7062074783812977,-20,0,0.05296473577618599,0.08913587778806686,13.33621597290039
47,0.9767682342250465,0,0,0,-11.100462842628794,-1.1620234833724141,-20,6.362506246659905e-05,102.12049865722656,0.0018071839585900307
48,0.976279850107934,0,0,0,-3.634849822180622,-4.482863428844518,-7.203847211264595,11.530768394470215,2.4701004028320312,12.466601371765137
49,0.9757917101828801,0,0,0,0,0,-3.6411394954425425,9.8053617477417,7.517233371734619,3.2592105865478516
50,0.9753038143277888,0,0,0,-2.3770177214617982,-2.882437681273293,-20,0.4228144586086273,0.4862671196460724,3.4162869453430176
51,0.974816162420625,1,1,0,-2.6382001509992796,-2.7049100815318,0,0.04740367457270622,14.111523628234863,55.025638580322266
52,0.9743287543394147,0,0,0,-1.5154421848235056,0,-2.9498525483421387,0.042455390095710754,5.707630634307861,33.04188537597656
53,0.973841589962245,2,0,2,-0.9569550106382274,-7.666968196392338,-2.718005147693093,10.562239646911621,115.03328704833984,0.2781437337398529
54,0.973354669167264,0,0,0,-3.4497302916442707,-16.035514673884563,-5.883458128444143,0.017248449847102165,0.4673512578010559,8.063044548034668
55,0.9728679918326804,0,0,0,0,-36.15552800785082,-24.623624988167755,0.04567841440439224,96.63471221923828,13.75203800201416
56,0.972381557836764,0,0,0,0,0,0,2.3605244159698486,0.48008620738983154,8.341032028198242
57,0.9718953670578457,0,0,0,0,-20.87451535749038,0,1.9477614164352417,8.234825134277344,19.557905197143555
58,0.9714094193743169,1,0,1,-0.23935919429183716,0,0,0.014875095337629318,13.52407455444336,2.101351737976074
59,0.9709237146646298,0,0,0,-9.4092978544098,-2.950011239355264,0,1.6959989070892334,0.2331082820892334,0.39620471000671387
60,0.9704382528072976,1,0,1,-20,0,0,3.902156114578247,94.25756072998047,6.005195617675781
61,0.9699530336808939,0,0,0,-4.640047716356407,-9.142933739302416,-1.241873949307566,0.9404472708702087,13.971866607666016,21.712221145629883
62,0.9694680571640535,0,0,0,0,-2.4327005758613174,-0.2879703932759359,0.8912084698677063,0.02326676994562149,13.552145957946777
63,0.9689833231354715,0,0,0,-5.305605635579916,-3.6800211809935006,-5.227731241441442,0.033290546387434006,2.778455972671509,19.734901428222656
64,0.9684988314739038,4,4,0,0,0,-12.937242256689203,1.2096210718154907,43.287540435791016,0.00018256489420309663
65,0.9680145820581669,2,2,0,-9.536610425754848,-3.176057316464366,0,14.640817642211914,32.40461349487305,133.14186096191406
66,0.9675305747671379,0,0,0,-24.181594943327163,-3.8190088315264195,0,0.4844333827495575,17.140037536621094,2.192533254623413
67,0.9670468094797544,0,0,0,-4.70855141007879,0,-0.06972411621172458,0.8828337788581848,0.039516545832157135,5.68848991394043
68,0.9665632860750146,0,0,0,-14.356771224707867,-20,-1.2677510060039876,10.387578964233398,4.982532501220703,13.644566535949707
69,0.9660800044319772,1,0,1,-33.65388562799528,0,-4.645849582685231,0.26115381717681885,2.4067094326019287,1.433910846710205
70,0.9655969644297613,0,0,0,-16.320450019926476,-3.0873490556206287,-20,4.337364196777344,15.226827621459961,5.127181529998779
71,0.9651141659475465,0,0,0,-11.09581854163529,-25.54009952296288,-11.696046823477028,0.11605709791183472,25.563325881958008,16.211017608642578
72,0.9646316088645728,0,0,0,-16.08187985733124,-10.477717639412294,-4.579966940020425,30.841840744018555,22.176618576049805,0.012160634621977806
73,0.9641492930601405,2,2,0,0,0,-4.316530324811921,0.7705395221710205,2.3678033351898193,0.4669041335582733
74,0.9636672184136105,2,1,1,0,0,0,3.981961488723755,0.3937114477157593,1.6474816799163818
75,0.9631853848044037,0,0,0,-31.08164340772343,-33.843486196399894,-13.130172851653091,1.359094262123108,19.177759170532227,0.13202038407325745
76,0.9627037921120016,0,0,0,-5.832510532730871,-5.41520614474866,0,14.918517112731934,1.2979291677474976,0.5151439309120178
77,0.9622224402159457,0,0,0,-5.283015213119781,-6.146063113513588,-23.711848386593445,0.17721812427043915,33.401947021484375,5.618287086486816
78,0.9617413289958378,0,0,0,-20,0,0,113.73590087890625,2.5619242191314697,0.21315672993659973
79,0.9612604583313399,0,0,0,-20,0,-10.563887489343134,2.3320798873901367,5.917811870574951,1.1142655611038208
80,0.9607798281021742,0,0,0,-10.638870177456552,0,-8.970637295643469,1.0708614587783813,0.7463086843490601,15.836570739746094
81,0.9602994381881231,0,0,0,0,0,0,78.30778503417969,5.803154468536377,6.664896011352539
82,0.9598192884690291,0,0,0,0,-20,-5.508656700320197,12.386106491088867,25.202856063842773,0.3650050759315491
83,0.9593393788247946,1,0,1,0,-11.178490983545467,0,89.42230987548828,1.235304594039917,2.9593753814697266
84,0.9588597091353822,1,0,1,0,-2.15075353705404,-3.4549449390138096,0.03193214535713196,14.883131980895996,9.974270820617676
85,0.9583802792808146,0,0,0,0,0,-13.118353235943813,9.348299980163574,3.1961190700531006,3.4158568382263184
86,0.9579010891411742,0,0,0,-3.16045827996492,0,-7.728836866137016,7.64914608001709,2.1174633502960205,5.748184680938721
87,0.9574221385966036,4,2,2,-5.225927016061721,-4.412382176331536,-1.1434906257961797,8.835029602050781,0.3921607434749603,17.519248962402344
88,0.9569434275273054,0,0,0,-24.06331562926417,0,-15.54813668833272,17.107267379760742,8.551314353942871,0.48655712604522705
89,0.9564649558135419,0,0,0,0,-22.670578470256253,-20.737011451713197,0.7010510563850403,12.600801467895508,50.56035614013672
90,0.9559867233356352,0,0,0,0,-22.30589136795399,0,25.638330459594727,11.881746292114258,2.9323740005493164
91,0.9555087299739674,6,6,0,-11.493454234102739,-15.322080847284814,0,3.6980035305023193,30.570425033569336,13.83565616607666
92,0.9550309756089804,0,0,0,-20,-2.298049722828252,-20,2.747537851333618,19.102293014526367,5.109368324279785
93,0.954553460121176,0,0,0,0,-12.148050347927331,-35.44718027590366,0.020426539704203606,0.345216304063797,0.15853972733020782
94,0.9540761833911156,1,0,1,0,0,-5.626769944233414,1.770609974861145,0.1343228816986084,1.5667849779129028
95,0.95359914529942,0,0,0,-2.3200563913400147,-3.554625984470372,0,0.09549397230148315,0.38971954584121704,22.309175491333008
96,0.9531223457267703,3,0,3,0,-1.9895224965384384,-1.3464052689090988,0.0014047054573893547,5.502967357635498,4.675376892089844
97,0.952645784553907,0,0,0,-20,0,0,61.24824905395508,0.04979688674211502,40.70426940917969
98,0.9521694616616301,0,0,0,-2.37912140118657,0,-7.451202660444127,2.1496078968048096,11.44255542755127,0.5518279671669006
99,0.9516933769307994,1,0,1,-0.3215986876138044,-22.12288560631928,-20,20.039031982421875,23.895048141479492,17.26756477355957
100,0.951217530242334,0,0,0,0,-20,0,0.28256914019584656,0.8201002478599548,1.8109169006347656
101,0.9507419214772129,0,0,0,0,-20.155803087817013,-12.14342171363754,1.138434886932373,41.200408935546875,0.06291649490594864
102,0.9502665505164744,1,0,1,0,-3.2451146619318836,-2.720569217855145,4.17730712890625,7.372220039367676,1.3177874088287354
103,0.9497914172412162,2,0,2,0,0,0,1.5174065828323364,0.37331175804138184,3.871321678161621
104,0.9493165215325956,2,0,2,-20,0,-30.221901447387598,0.15607960522174835,0.47331738471984863,12.094047546386719
105,0.9488418632718294,0,0,0,0,-13.246751035793325,0,3.1990113258361816,0.00047262583393603563,2.5568833351135254
106,0.9483674423401935,2,0,2,-3.043766991306866,-20,-3.0043819594739043,0.1531994491815567,0.9799749255180359,9.619394302368164
107,0.9478932586190235,2,0,2,0,-2.606208017387426,-11.61669916839489,3.3902909755706787,1.6317825317382812,4.0009002685546875
108,0.9474193119897141,0,0,0,0,0,-3.3882166165584913,0.8460702896118164,1.3289821147918701,1.5482323169708252
109,0.9469456023337193,0,0,0,-28.64591509171516,-0.4600675462992698,-2.307878444309967,0.21502768993377686,22.171695709228516,0.21287326514720917
110,0.9464721295325524,0,0,0,0,-20,-26.6813326022294,19.740188598632812,1.9249043464660645,111.43315887451172
